Country,Year,GDP,Inflation,Unemployment
Sweden,2010,495812558843.31,100.0,8.61
Sweden,2011,574094112972.733,102.961150738221,7.804
Sweden,2012,552483727282.802,103.875834442249,7.976
Sweden,2013,586841821796.891,103.829824749908,8.052
Sweden,2014,581964017237.095,103.643306416286,7.954
Sweden,2015,505103781349.757,103.594817159687,7.432
Sweden,2016,515654671469.547,104.614469083966,6.99
Sweden,2017,541018749769.097,106.491774734342,6.718
Sweden,2018,555455371487.089,108.572129146727,6.365
Sweden,2019,533879529188.454,110.509219846432,6.833
Sweden,2020,547054174235.876,111.058856590269,8.291
Sweden,2021,639714956069.468,113.461278849041,8.722
Sweden,2022,590409594949.102,122.957183435409,7.392
Sweden,2023,593267701033.408,133.468331831819,7.587
